ebird_code,url,copyright
ameavo,https://macaulaylibrary.org/asset/357235741,George Gibbs
amegfi,https://macaulaylibrary.org/asset/357081241,Del Nelson
amerob,https://macaulaylibrary.org/asset/357085671,Beatrix Kohlhaas
amewoo,https://macaulaylibrary.org/asset/354874211,Brian Henderson
astfly,https://macaulaylibrary.org/asset/356852011,Jack Wickel
bawwar,https://macaulaylibrary.org/asset/357015421,Braydon Luikart
bewwre,https://macaulaylibrary.org/asset/356864121,Anonymous
bkhgro,https://macaulaylibrary.org/asset/357088801,Jill Casperson
bkpwar,https://macaulaylibrary.org/asset/356543531,Frank King
boboli,https://macaulaylibrary.org/asset/357093711,Matt Tobin
brespa,https://macaulaylibrary.org/asset/357078881,Demelza Larson
brnthr,https://macaulaylibrary.org/asset/357028821,Jeffrey McCrary
brthum,https://macaulaylibrary.org/asset/249848111,Jim Merritt
btnwar,https://macaulaylibrary.org/asset/356655731,Robert Martin
buhvir,https://macaulaylibrary.org/asset/356713231,Richard Taylor
bulori,https://macaulaylibrary.org/asset/356799521,Corey S.
calqua,https://macaulaylibrary.org/asset/357053631,Scott Hill
canwar,https://macaulaylibrary.org/asset/356595071,Debra Rittelmann
canwre,https://macaulaylibrary.org/asset/356458661,Doug Orama
casfin,https://macaulaylibrary.org/asset/356926931,Jeff Acuff
chispa,https://macaulaylibrary.org/asset/27961971,Evan Lipton
comloo,https://macaulaylibrary.org/asset/356982901,Anne Dalton
coshum,https://macaulaylibrary.org/asset/47682281,Gordon Karre
easblu,https://macaulaylibrary.org/asset/357066811,Eric Myskowski
easmea,https://macaulaylibrary.org/asset/356922281,Danilo Moreno
eawpew,https://macaulaylibrary.org/asset/357090191,Steve Kruse
eucdov,https://macaulaylibrary.org/asset/357020331,Shaw Dev
fiespa,https://macaulaylibrary.org/asset/230980641,Gautam Apte
foxspa,https://macaulaylibrary.org/asset/352885691,Carolyn Ohl
gadwal,https://macaulaylibrary.org/asset/356712531,Antonio Espin Fernandez
gnwtea,https://macaulaylibrary.org/asset/354351271,Thomas Galewski
gocspa,https://macaulaylibrary.org/asset/355503741,Stephanie Jurries
grcfly,https://macaulaylibrary.org/asset/356958141,Cheryl Rosenfeld
greroa,https://macaulaylibrary.org/asset/356855131,Ted Keyel
grhowl,https://macaulaylibrary.org/asset/356910381,Ignacio Ferreira Lacava
grnher,https://macaulaylibrary.org/asset/64294971,Sean Sime
hamfly,https://macaulaylibrary.org/asset/355918241,Robin Wolcott
herthr,https://macaulaylibrary.org/asset/356613561,Donna Pomeroy
hoowar,https://macaulaylibrary.org/asset/356609651,Moises Rodriguez
horgre,https://macaulaylibrary.org/asset/356509391,Curtis Mahon
houfin,https://macaulaylibrary.org/asset/357072471,Jeffrey Fenwick
lesgol,https://macaulaylibrary.org/asset/356904061,Sandra Ewald
lobcur,https://macaulaylibrary.org/asset/356917501,Joan Tisdale
logshr,https://macaulaylibrary.org/asset/356813651,Jeff Bleam
louwat,https://macaulaylibrary.org/asset/356852441,Lucinda Hodges
marwre,https://macaulaylibrary.org/asset/356825421,Eric Patry
moudov,https://macaulaylibrary.org/asset/357088381,Shirley Stafford
norhar2,https://macaulaylibrary.org/asset/244391351,Jerry Liguori
normoc,https://macaulaylibrary.org/asset/357105151,Tom Crockett
norwat,https://macaulaylibrary.org/asset/356897321,Peter Kondrashov
osprey,https://macaulaylibrary.org/asset/356173681,Steve Myers
perfal,https://macaulaylibrary.org/asset/357069141,Davin MacAskill
pingro,https://macaulaylibrary.org/asset/356997931,Marky Mutchler
pinsis,https://macaulaylibrary.org/asset/356738491,Walter Thorne
rebnut,https://macaulaylibrary.org/asset/357001521,Noam Markus
reevir1,https://macaulaylibrary.org/asset/357101721,Ann Vaughan
ribgul,https://macaulaylibrary.org/asset/357073141,Bill Tweit
rocpig,https://macaulaylibrary.org/asset/357066591,Nancy Salem
rocwre,https://macaulaylibrary.org/asset/356885991,Aidan Brubaker
rthhum,https://macaulaylibrary.org/asset/97947051,Brian Kulvete
rudduc,https://macaulaylibrary.org/asset/356891521,Philip Reimers
rusbla,https://macaulaylibrary.org/asset/356885891,Walter Thorne
savspa,https://macaulaylibrary.org/asset/357069621,Frank King
sora,https://macaulaylibrary.org/asset/357021941,David Drews
stejay,https://macaulaylibrary.org/asset/357094871,Tommy Quarles
swathr,https://macaulaylibrary.org/asset/357104051,Yannick Fleury
tuftit,https://macaulaylibrary.org/asset/357093491,Cindy & Gene Cunningham
veery,https://macaulaylibrary.org/asset/356725281,Elaine Marie
vesspa,https://macaulaylibrary.org/asset/357087291,Ceredig Roberts
wesblu,https://macaulaylibrary.org/asset/357073131,Rick Bennett
wesgre,https://macaulaylibrary.org/asset/356867251,Ted Keyel
wewpew,https://macaulaylibrary.org/asset/357115441,Jim Merritt
wlswar,https://macaulaylibrary.org/asset/356602181,Daniel Bellich
wooscj2,https://macaulaylibrary.org/asset/356221791,Cory Shaw
y00475,https://macaulaylibrary.org/asset/139201501,August Davidson-Onsgard
yetvir,https://macaulaylibrary.org/asset/357081401,John Terry
mouchi,https://macaulaylibrary.org/asset/155067991,Michael Woodruff
bkcchi,https://macaulaylibrary.org/asset/82257981,Darlene Friedman
